symbol,company_name,exchange,fiscal_year,year_end_date,revenue,gross_profit,net_income,operating_cash_flow,free_cash_flow,created_at,updated_at
2222.SR,Saudi Arabian Oil Company,Tadawul,2024,2024-12-31,1801674000000.00,878228000000.00,393891000000.00,508888000000.00,319998000000.00,2025-09-30 20:37:29.568083+03:00,2025-09-30 20:37:29.568083+03:00
2222.SR,Saudi Arabian Oil Company,Tadawul,2023,2023-12-31,1856373000000.00,959790000000.00,452753000000.00,537814000000.00,379506000000.00,2025-09-30 20:37:29.568083+03:00,2025-09-30 20:37:29.568083+03:00
2222.SR,Saudi Arabian Oil Company,Tadawul,2022,2022-12-31,2266373000000.00,1582153000000.00,597215000000.00,698152000000.00,556991000000.00,2025-09-30 20:37:29.568083+03:00,2025-09-30 20:37:29.568083+03:00
2222.SR,Saudi Arabian Oil Company,Tadawul,2021,2021-12-31,1501758000000.00,842572000000.00,395203000000.00,522601000000.00,402956000000.00,2025-09-30 20:37:29.568083+03:00,2025-09-30 20:37:29.568083+03:00
2222.SR,Saudi Arabian Oil Company,Tadawul,2020,2020-12-31,,,,,,2025-09-30 20:37:29.568083+03:00,2025-09-30 20:37:29.568083+03:00
