symbol,company_name,exchange,sector,industry,currency,listing_date,created_at,updated_at
7201.SR,Arab Sea Information Systems Company,Tadawul,Technology,Software - Application,SAR,,2025-09-30 22:27:30.733853+03:00,2025-09-30 22:27:30.733853+03:00
7202.SR,Arabian Internet and Communication Services Company,Tadawul,Communication Services,Telecom Services,SAR,,2025-09-30 22:27:35.260514+03:00,2025-09-30 22:27:35.260514+03:00
7203.SR,Elm Company,Tadawul,Technology,Information Technology Services,SAR,,2025-09-30 22:27:39.626402+03:00,2025-09-30 22:27:39.626402+03:00
7204.SR,Perfect Presentation for Commercial Services Company,Tadawul,Technology,Software - Infrastructure,SAR,,2025-09-30 22:27:44.072021+03:00,2025-09-30 22:27:44.072021+03:00
7211.SR,Saudi Azm for Communication and Information Technology Company,Tadawul,Technology,Software - Application,SAR,,2025-09-30 22:27:48.419751+03:00,2025-09-30 22:27:48.419751+03:00
4165.SR,Al Majed Oud Co.,Tadawul,Consumer Cyclical,Specialty Retail,SAR,,2025-09-30 22:27:52.813764+03:00,2025-09-30 22:27:52.813764+03:00
9406.SR,Albilad Capital - Msci US Equity ETF,Tadawul,,,SAR,,2025-09-30 22:27:56.993401+03:00,2025-09-30 22:27:56.993401+03:00
9402.SR,HSBC Amanah Saudi 20 ETF,Tadawul,,,SAR,,2025-09-30 22:28:01.445354+03:00,2025-09-30 22:28:01.445354+03:00
9403.SR,Albilad Saudi Sovereign Sukuk Etf,Tadawul,,,SAR,,2025-09-30 22:28:05.588170+03:00,2025-09-30 22:28:05.588170+03:00
4701.SR,Alkhabeer Growth A - Alkhabeer Growth And Income Fund,Tadawul,,,SAR,,2025-09-30 22:28:09.910309+03:00,2025-09-30 22:28:09.910309+03:00
9400.SR,FALCOM Saudi Equity ETF,Tadawul,,,SAR,,2025-09-30 22:28:14.195462+03:00,2025-09-30 22:28:14.195462+03:00
9401.SR,FALCOM Petrochemical ETF,Tadawul,,,SAR,,2025-09-30 22:28:18.422490+03:00,2025-09-30 22:28:18.422490+03:00
9404.SR,Alinma Saudi Government Sukuk Etf Fund - Short Maturity - Alinma Sukuk Fund,Tadawul,,,SAR,,2025-09-30 22:28:51.195134+03:00,2025-09-30 22:28:51.195134+03:00
9405.SR,Albilad Gold ETF,Tadawul,,,SAR,,2025-09-30 22:28:55.413719+03:00,2025-09-30 22:28:55.413719+03:00
4700.SR,Alkhabeer Capital - Diversified Income ETF,Tadawul,,,SAR,,2025-09-30 22:28:59.744549+03:00,2025-09-30 22:28:59.744549+03:00
