symbol,company_name,exchange,sector,industry,currency,listing_date,created_at,updated_at
9628.SR,Lamasat Co.,NOMU,Consumer Defensive,Household & Personal Products,SAR,,2025-09-30 22:36:55.608704+03:00,2025-09-30 22:36:55.608704+03:00
9617.SR,Arabica Star Co.,NOMU,Consumer Cyclical,Restaurants,SAR,,2025-09-30 22:36:59.789845+03:00,2025-09-30 22:36:59.789845+03:00
9632.SR,Future Vision for Health Traini,NOMU,Consumer Defensive,Education & Training Services,SAR,,2025-09-30 22:37:04.076319+03:00,2025-09-30 22:37:04.076319+03:00
9636.SR,Al Kuzama Trading Co,NOMU,Industrials,Specialty Business Services,SAR,,2025-09-30 22:37:08.622746+03:00,2025-09-30 22:37:08.622746+03:00
9541.SR,Academy of Learning Company,NOMU,Consumer Defensive,Education & Training Services,SAR,,2025-09-30 22:37:12.829285+03:00,2025-09-30 22:37:12.829285+03:00
9581.SR,Clean Life Co.,NOMU,Consumer Cyclical,Personal Services,SAR,,2025-09-30 22:37:17.279833+03:00,2025-09-30 22:37:17.279833+03:00
9590.SR,Armah Sports Co.,NOMU,Consumer Cyclical,Leisure,SAR,,2025-09-30 22:37:21.598408+03:00,2025-09-30 22:37:21.598408+03:00
9562.SR,Foods Gate Trading Co.,NOMU,Consumer Cyclical,Restaurants,SAR,,2025-09-30 22:37:25.995276+03:00,2025-09-30 22:37:25.995276+03:00
9567.SR,Ghida Al-Sultan Company,NOMU,Consumer Cyclical,Restaurants,SAR,,2025-09-30 22:37:30.295915+03:00,2025-09-30 22:37:30.295915+03:00
9551.SR,Knowledge Tower,NOMU,Consumer Cyclical,Specialty Retail,SAR,,2025-09-30 22:37:34.601181+03:00,2025-09-30 22:37:34.601181+03:00
9522.SR,Alhasoob Co.,NOMU,Technology,Electronics & Computer Distribution,SAR,,2025-09-30 22:37:39.105735+03:00,2025-09-30 22:37:39.105735+03:00
9537.SR,Amwaj International Company,NOMU,Consumer Cyclical,"Furnishings, Fixtures & Appliances",SAR,,2025-09-30 22:37:43.315462+03:00,2025-09-30 22:37:43.315462+03:00
9589.SR,Fad International Company,NOMU,Consumer Cyclical,Apparel Manufacturing,SAR,,2025-09-30 22:37:47.599755+03:00,2025-09-30 22:37:47.599755+03:00
9649.SR,Jamjoom Fashion Trading Company,NOMU,Consumer Cyclical,Apparel Manufacturing,SAR,,2025-09-30 22:37:51.986646+03:00,2025-09-30 22:37:51.986646+03:00
9637.SR,Axelerated Solutions for Inform,NOMU,Technology,Information Technology Services,SAR,,2025-09-30 22:37:56.242099+03:00,2025-09-30 22:37:56.242099+03:00
9614.SR,Purity for Information Technology Company,NOMU,Technology,Information Technology Services,SAR,,2025-09-30 22:38:00.464243+03:00,2025-09-30 22:38:00.464243+03:00
9595.SR,WSM for Information Technology ,NOMU,Industrials,Consulting Services,SAR,,2025-09-30 22:38:04.725316+03:00,2025-09-30 22:38:04.725316+03:00
9538.SR,Naseej for Technology Co.,NOMU,Technology,Information Technology Services,SAR,,2025-09-30 22:38:08.990295+03:00,2025-09-30 22:38:08.990295+03:00
9550.SR,Sure Global Tech Co.,NOMU,Technology,Information Technology Services,SAR,,2025-09-30 22:38:13.389333+03:00,2025-09-30 22:38:13.389333+03:00
9524.SR,Advance International Company for Communication and Information Technology,NOMU,Industrials,Security & Protection Services,SAR,,2025-09-30 22:38:17.711192+03:00,2025-09-30 22:38:17.711192+03:00
9557.SR,Edarat Communication and Information Technology Co.,NOMU,Technology,Information Technology Services,SAR,,2025-09-30 22:38:22.049870+03:00,2025-09-30 22:38:22.049870+03:00
9561.SR,Knowledge Net Computer Company,NOMU,Technology,Software - Application,SAR,,2025-09-30 22:38:26.459860+03:00,2025-09-30 22:38:26.459860+03:00
9543.SR,Saudi Networkers Services Company,NOMU,Industrials,Consulting Services,SAR,,2025-09-30 22:38:30.795064+03:00,2025-09-30 22:38:30.795064+03:00
9558.SR,Alqemam for Computer Systems Co.,NOMU,Technology,Software - Infrastructure,SAR,,2025-09-30 22:38:35.261512+03:00,2025-09-30 22:38:35.261512+03:00
4100.SR,Makkah Construction and Development Company,Tadawul,Consumer Cyclical,Lodging,SAR,,2025-09-30 22:43:18.730836+03:00,2025-09-30 22:43:18.730836+03:00
